t_s,x_mV
0.0,1.191922303104192e-14
5e-06,-5.159540932284927
1e-05,-10.23300158461373
1.5000000000000002e-05,-15.206959361393556
2e-05,-20.06846350450639
2.5e-05,-24.805065876449486
3.0000000000000004e-05,-29.40484987107558
3.5000000000000004e-05,-33.85645739451922
4e-05,-38.14911386524811
4.5e-05,-42.27265118858544
5e-05,-46.217528667501135
5.5e-05,-49.97485181793833
6.000000000000001e-05,-53.53638906341617
6.500000000000001e-05,-56.894586290103994
7.000000000000001e-05,-60.0425792499852
7.500000000000001e-05,-62.97420380609506
8e-05,-65.6840040201164
8.5e-05,-68.16723808882482
9e-05,-70.4198821419823
9.5e-05,-72.43863192026187
0.0001,-74.22090235763426
0.000105,-75.76482509834688
0.00011,-77.06924398415532
0.000115,-78.13370855282251
0.00012000000000000002,-78.95846559406093
0.000125,-79.54444881405013
0.00013000000000000002,-79.89326666440346
0.000135,-80.0071883959724
0.00014000000000000001,-79.88912840215563
0.000145,-79.54262892041304
0.00015000000000000001,-78.97184116446539
0.000155,-78.18150496317841
0.00016,-77.17692698538194
0.00016500000000000003,-75.96395763285325
0.00017,-74.54896668639351
0.00017500000000000003,-72.93881779234577
0.00018,-71.14084187903575
0.00018500000000000002,-69.1628095944631
0.00019,-67.01290285813005
0.00019500000000000002,-64.6996856211613
0.0002,-62.232073929851204
0.00020500000000000002,-59.61930538846592
0.00021,-56.870908117536075
0.00021500000000000002,-53.99666930399944
0.00022,-51.00660343939935
0.00022500000000000002,-47.91092034191324
0.00023,-44.719993057288555
0.00023500000000000002,-41.44432573279705
0.00024000000000000003,-38.09452155709903
0.00024500000000000005,-34.681250857436154
0.00025,-31.215219443856324
0.000255,-27.707137288224864
0.00026000000000000003,-24.167687623600724
0.00026500000000000004,-20.60749654716438
0.00027,-17.037103207285213
0.000275,-13.46693065252249
0.00028000000000000003,-9.907257417373168
0.00028500000000000004,-6.3681899164254645
0.00029,-2.8596357152601612
0.000295,0.6087222570276576
0.00030000000000000003,4.027450492418457
0.00030500000000000004,7.387388628139682
0.00031,10.6796720567327
0.000315,13.895753372281156
0.00032,17.027422607104022
0.00032500000000000004,20.066826217330867
0.00033000000000000005,23.00648477995376
0.000335,25.839309368177766
0.00034,28.558616576155437
0.00034500000000000004,31.158142168480225
0.00035000000000000005,33.632053334114126
0.000355,35.97495952872371
0.00036,38.18192189368578
0.00036500000000000004,40.24846124428502
0.00037000000000000005,42.17056462384868
0.000375,43.944690424739825
0.00038,45.5677720812438
0.00038500000000000003,47.037220343426185
0.00039000000000000005,48.350924145002324
0.000395,49.50725008212694
0.0004,50.50504052377944
0.00040500000000000003,51.34361037807604
0.00041000000000000005,52.02274254237473
0.00041500000000000006,52.54268206844472
0.00042,52.904129077241
0.00042500000000000003,53.108230460948725
0.00043000000000000004,53.15657041293451
0.00043500000000000006,53.051159829056594
0.00044,52.79442462643621
0.00044500000000000003,52.389193028273354
0.00045000000000000004,51.83868186559778
0.00045500000000000006,51.14648194897386
0.00046,50.316542565125424
0.000465,49.35315515520703
0.00047000000000000004,48.2609362330227
0.00047500000000000005,47.044809602876626
0.00048000000000000007,45.70998793793378
0.000485,44.26195378096942
0.0004900000000000001,42.70644003019577
0.000495,41.04940997347246
0.0005,39.29703693463189
0.000505,37.45568359589138
0.00051,35.53188106037034
0.000515,33.53230771859729
0.0005200000000000001,31.463767982574954
0.0005250000000000001,29.333170950471946
0.0005300000000000001,27.147509064344796
0.000535,24.913836822445273
0.00054,22.63924960666871
0.000545,20.33086268452513
0.00055,17.995790443696343
0.000555,15.64112591577107
0.0005600000000000001,13.273920644131953
0.0005650000000000001,10.901164949225665
0.0005700000000000001,8.52976864255916
0.0005750000000000001,6.166542238773662
0.00058,3.818178713022774
0.000585,1.4912358486673878
0.00059,-0.8078807820267122
0.000595,-3.072934163914813
0.0006000000000000001,-5.2978714739386055
0.0006050000000000001,-7.47683896982452
0.0006100000000000001,-9.6041960999343
0.0006150000000000001,-11.674528804389341
0.00062,-13.682661980322337
0.000625,-15.623671086900814
0.00063,-17.492892868572667
0.000635,-19.28593517782572
0.00064,-20.998685881604555
0.0006450000000000001,-22.627320838381312
0.0006500000000000001,-24.168310935740084
0.0006550000000000001,-25.61842818117228
0.0006600000000000001,-26.97475084161549
0.000665,-28.2346676300623
0.00067,-29.395880940338838
0.000675,-30.45640913387521
0.00068,-31.414587884967933
0.0006850000000000001,-32.26907059365836
0.0006900000000000001,-33.01882787790623
0.0006950000000000001,-33.66314615923243
0.0007000000000000001,-34.20162535841571
0.000705,-34.6341757201656
0.00071,-34.961013787938725
0.000715,-35.182657552221684
0.00072,-35.29992079766285
0.0007250000000000001,-35.313906676390495
0.0007300000000000001,-35.226000536707616
0.0007350000000000001,-35.037862038093884
0.0007400000000000001,-34.75141658507448
0.0007450000000000001,-34.36884611402703
0.00075,-33.892579268391415
0.000755,-33.325280999018744
0.00076,-32.66984162754429
0.0007650000000000001,-31.92936541169277
0.0007700000000000001,-31.107158652321232
0.0007750000000000001,-30.20671738277559
0.0007800000000000001,-29.231714681779238
0.0007850000000000001,-28.185987651587507
0.00079,-27.07352410352973
0.000795,-25.89844899332148
0.0008,-24.665010648666136
0.000805,-23.377566831674702
0.0008100000000000001,-22.040570678522748
0.0008150000000000001,-20.658556558530744
0.0008200000000000001,-19.236125894503836
0.0008250000000000001,-17.777932985701117
0.0008300000000000001,-16.28867087422607
0.000835,-14.773057294941502
0.00084,-13.235820748217954
0.000845,-11.68168673392921
0.0008500000000000001,-10.115364184112272
0.0008550000000000001,-8.541532130622087
0.0008600000000000001,-6.964826642932182
